Date,Price_50kg,Paint_Price,Retail_Mudu,Profit_Mudu,FX_Rate,Inflation_Pct,Festive,Harvest,Shock,Margin_Pct,calculated_retail,calculated_mudu,mudu_calculation_check,calculated_paint,paint_calculation_check,mudu_check,paint_check,calculated_profit,profit_check,months_since_start,price_change_pct,fx_change_pct,inflation_change_pct,lag1_price,lag1_fx,lag1_inflation,month,year
2023-06-01,38000,3642,1366,178,770,22.8,0,0,1,15,873.9999999999999,1365.625,0.375,3641.666666666666,0.33333333333393966,0.38,0.33,204.9,-26.9,0,,,,,,,6,2023
2023-07-01,42000,4025,1509,197,776,24.1,0,1,1,15,965.9999999999999,1509.3749999999998,-0.3749999999997726,4024.9999999999995,4.547473508864641e-13,-0.37,0.0,226.35,-29.35,1,10.526315789473696,0.7792207792207684,5.701754385964919,38000.0,770.0,22.8,7,2023
2023-08-01,45000,4313,1617,211,772,25.8,0,1,0,15,1035.0,1617.1874999999998,-0.18749999999977263,4312.5,0.5,-0.19,0.5,242.54999999999998,-31.55,2,7.14285714285714,-0.5154639175257714,7.05394190871369,42000.0,776.0,24.1,8,2023
2023-09-01,48000,4600,1725,225,787,26.7,0,1,0,15,1104.0,1724.9999999999998,2.2737367544323206e-13,4600.0,0.0,0.0,0.0,258.75,-33.75,3,6.666666666666665,1.9430051813471572,3.48837209302324,45000.0,772.0,25.8,9,2023
2023-10-01,52000,4983,1869,244,749,27.3,0,1,0,15,1196.0,1868.7499999999998,0.2500000000002274,4983.333333333333,-0.33333333333303017,0.25,-0.33,280.34999999999997,-36.35,4,8.333333333333325,-4.828462515883103,2.2471910112359605,48000.0,787.0,26.7,10,2023
2023-11-01,55000,5271,1977,258,804,28.2,0,1,0,15,1265.0,1976.5624999999998,0.4375000000002274,5270.833333333333,0.16666666666696983,0.44,0.17,296.55,-38.55,5,5.769230769230771,7.343124165554071,3.296703296703285,52000.0,749.0,27.3,11,2023
2023-12-01,58000,5558,2084,272,903,28.9,1,1,0,15,1334.0,2084.375,-0.375,5558.333333333332,-0.3333333333321207,-0.38,-0.33,312.59999999999997,-40.6,6,5.454545454545445,12.313432835820892,2.482269503546086,55000.0,804.0,28.2,12,2023
2024-01-01,62000,5942,2228,291,957,29.9,0,0,0,15,1426.0,2228.125,-0.125,5941.666666666667,0.33333333333303017,-0.12,0.33,334.2,-43.2,7,6.896551724137923,5.980066445182719,3.460207612456756,58000.0,903.0,28.9,1,2024
2024-02-01,70000,6708,2516,328,1493,31.7,0,0,1,15,1609.9999999999998,2515.625,0.375,6708.333333333332,-0.3333333333321207,0.38,-0.33,377.4,-49.4,8,12.903225806451623,56.00835945663532,6.020066889632103,62000.0,957.0,29.9,2,2024
2024-03-01,75000,7188,2695,352,1593,33.2,0,1,0,15,1724.9999999999998,2695.3125,-0.3125,7187.499999999999,0.5000000000009095,-0.31,0.5,404.25,-52.25,9,7.14285714285714,6.697923643670456,4.731861198738185,70000.0,1493.0,31.7,3,2024
2024-04-01,72000,6900,2588,338,1149,33.7,0,1,0,15,1655.9999999999998,2587.5,0.5,6899.999999999999,9.094947017729282e-13,0.5,0.0,388.2,-50.2,10,-4.0000000000000036,-27.87193973634652,1.5060240963855387,75000.0,1593.0,33.2,4,2024
2024-05-01,74000,7092,2659,347,1486,34.0,0,0,0,15,1701.9999999999998,2659.375,-0.375,7091.666666666666,0.33333333333393966,-0.38,0.33,398.84999999999997,-51.85,11,2.777777777777768,29.329852045256754,0.8902077151335286,72000.0,1149.0,33.7,5,2024
